horizon,window_days,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high
1d,30,48844,43.54637233018656,1.4479839043858556,2.1273415902446935,0.4367928147402274,-0.09443906337999447,0.583920542431403,0.4310713135590982,0.43986628614022394
3d,30,41958,59.75431272343386,2.426632695507404,3.465665610915541,0.129173520809214,-0.18679813689882568,0.3702822346230225,0.592826288606586,0.6022419862012429
5d,30,37262,58.54198741322961,3.1300624489991624,4.415871266414033,0.3246354263427971,-0.526839124885936,0.32553265649813484,0.5803929454846214,0.590429077855333
