symbol,horizon,rows,hit_rate_%,mae_%,rmse_%,mean_pred_%,mean_real_%,pearson_r,wilson_low,wilson_high,stability_qtr_std,start_date,end_date
20MICRONS,1d,971,46.00207684319834,2.1680242169165327,3.118435201415631,0.4602796722166926,0.18976079223454362,0.7198676832620495,0.4287628734928361,0.49159636632473075,0.4224399888440377,2021-12-28,2025-12-26
21STCENMGM,1d,965,50.156739811912225,1.4594911141667726,1.6145720866175226,0.5328659101633243,0.03258374512512317,0.7547864847000215,0.4699457772308642,0.5331764855854001,0.4750385306498464,2021-12-28,2025-12-26
360ONE,1d,957,50.57471264367816,1.617058827317866,2.1308024915321497,0.4964739863506194,0.1499380877263497,0.650091141640032,0.4741107198027945,0.5373375771901752,0.31037104347276795,2021-12-28,2025-12-26
3IINFOLTD,1d,967,40.57971014492754,1.9953771451995284,2.9075550354310113,0.42702631503386734,-0.12998327380369457,0.6620313130602871,0.3752630794974941,0.4370774099185096,0.3578116578883028,2021-12-28,2025-12-26
3MINDIA,1d,953,44.386149003147956,1.3392585191378714,1.8475008352591784,0.473812727616716,0.05024405068946519,0.22701231676041597,0.4126048733219354,0.475568885009642,0.3046608499188944,2021-12-28,2025-12-26
3PLAND,1d,971,48.34710743801653,2.4522875023867154,3.3032220399544583,0.46205986226406826,0.1569114900451634,0.6779725267208787,0.4521174492464269,0.5149553741437222,1.175781903530567,2021-12-28,2025-12-26
5PAISA,1d,973,43.576567317574515,1.668191438875358,2.4288914748938857,0.4497922097822189,0.013088450798739092,0.6685103583422258,0.4049215654866214,0.4671150062564329,0.33698571390423243,2021-12-28,2025-12-24
63MOONS,1d,980,46.625766871165645,2.512397560851507,3.182783024709291,0.47228396265340716,0.18155267676449607,0.7911131905621176,0.43518513064763226,0.49759425046638855,0.7579440817214924,2021-12-28,2025-12-26
A2ZINFRA,1d,949,46.835443037974684,2.5869958524818886,3.170233824025383,0.483358247739929,0.13445273597331478,0.5780588751673053,0.4367809530628948,0.5001833485604005,1.2205470735970463,2021-12-28,2025-12-26
AADHARHFC,1d,394,48.984771573604064,1.4709595890263603,1.9770954834274475,0.4431492235636257,0.11787698570314928,0.7752313062555085,0.4408230391518157,0.5390684553525298,0.309600283776191,2024-05-15,2025-12-26
